add 533 user word
+++++++++++++++++++++++++++++
stop words size is: 1226
The current weibo list size is: 5478
The K hours weibo list size is: 6031
add 533 user word
获取特征词用时：2
技能		IDF：79.5924		出现次数：12		词频：13
奋斗		IDF：79.5924		出现次数：12		词频：13
见到		IDF：78.5542		出现次数：13		词频：13
主题		IDF：78.5542		出现次数：13		词频：13
精神		IDF：78.5542		出现次数：13		词频：13
离开		IDF：78.5542		出现次数：13		词频：13
解释		IDF：78.5542		出现次数：13		词频：13
力量		IDF：78.5542		出现次数：13		词频：13
存在		IDF：78.5542		出现次数：13		词频：13
妈妈		IDF：76.9221		出现次数：9		词频：12
晚餐		IDF：76.9221		出现次数：9		词频：12
功能		IDF：75.6534		出现次数：10		词频：12
不见		IDF：74.9841		出现次数：6		词频：11
无法		IDF：74.5272		出现次数：11		词频：12
大会		IDF：74.5272		出现次数：11		词频：12
宝贝		IDF：74.5272		出现次数：11		词频：12
考虑		IDF：74.5272		出现次数：11		词频：12
享受		IDF：73.4699		出现次数：12		词频：12
意义		IDF：73.4699		出现次数：12		词频：12
路过		IDF：73.4699		出现次数：12		词频：12
发表		IDF：73.4699		出现次数：12		词频：12
学长		IDF：73.4699		出现次数：12		词频：12
过来		IDF：73.4699		出现次数：12		词频：12
全国		IDF：73.4699		出现次数：12		词频：12
打球		IDF：73.4699		出现次数：12		词频：12
想想		IDF：73.2804		出现次数：7		词频：11
节目		IDF：71.8075		出现次数：8		词频：11
选手		IDF：71.8075		出现次数：8		词频：11
全班		IDF：70.5119		出现次数：9		词频：11
头发		IDF：70.5119		出现次数：9		词频：11
评论		IDF：70.5119		出现次数：9		词频：11
排名		IDF：70.5119		出现次数：9		词频：11
内心		IDF：70.5119		出现次数：9		词频：11
纠结		IDF：70.5119		出现次数：9		词频：11
申请		IDF：69.3489		出现次数：10		词频：11
导演		IDF：69.3489		出现次数：10		词频：11
地点		IDF：69.3489		出现次数：10		词频：11
小朋友		IDF：69.3489		出现次数：10		词频：11
天下		IDF：69.3489		出现次数：10		词频：11
拍照		IDF：69.3489		出现次数：10		词频：11
工资		IDF：69.3489		出现次数：10		词频：11
师妹		IDF：69.3489		出现次数：10		词频：11
外语		IDF：69.3489		出现次数：10		词频：11
原谅		IDF：69.3489		出现次数：10		词频：11
表现		IDF：69.3489		出现次数：10		词频：11
晴天		IDF：69.3489		出现次数：10		词频：11
裁判		IDF：69.3489		出现次数：10		词频：11
起床		IDF：68.3166		出现次数：11		词频：11
知识		IDF：68.3166		出现次数：11		词频：11
奇怪		IDF：68.3166		出现次数：11		词频：11
名字		IDF：68.3166		出现次数：11		词频：11
国际		IDF：68.3166		出现次数：11		词频：11
霸气		IDF：68.3166		出现次数：11		词频：11
官方		IDF：68.3166		出现次数：11		词频：11
作业		IDF：68.3166		出现次数：11		词频：11
提供		IDF：68.3166		出现次数：11		词频：11
地址		IDF：68.3166		出现次数：11		词频：11
主角		IDF：68.3166		出现次数：11		词频：11
服务		IDF：68.3166		出现次数：11		词频：11
速度		IDF：68.3166		出现次数：11		词频：11
兴趣		IDF：68.3166		出现次数：11		词频：11
回到		IDF：68.3166		出现次数：11		词频：11
味道		IDF：68.3166		出现次数：11		词频：11
上班		IDF：68.3166		出现次数：11		词频：11
经验		IDF：68.3166		出现次数：11		词频：11
行动		IDF：68.3166		出现次数：11		词频：11
状态		IDF：68.3166		出现次数：11		词频：11
医院		IDF：68.1674		出现次数：6		词频：10
协会		IDF：66.6185		出现次数：7		词频：10
覺得		IDF：66.6185		出现次数：7		词频：10
留学		IDF：66.6185		出现次数：7		词频：10
山泉		IDF：66.6185		出现次数：7		词频：10
音乐节		IDF：66.6185		出现次数：7		词频：10
歌词		IDF：66.6185		出现次数：7		词频：10
飞机		IDF：66.6185		出现次数：7		词频：10
志愿		IDF：66.6185		出现次数：7		词频：10
摆摊		IDF：65.2796		出现次数：8		词频：10
观众		IDF：65.2796		出现次数：8		词频：10
委屈		IDF：65.2796		出现次数：8		词频：10
设计		IDF：65.2796		出现次数：8		词频：10
人性		IDF：65.2796		出现次数：8		词频：10
发展		IDF：65.2796		出现次数：8		词频：10
制作		IDF：65.2796		出现次数：8		词频：10
捧场		IDF：64.1017		出现次数：9		词频：10
放假		IDF：64.1017		出现次数：9		词频：10
带来		IDF：64.1017		出现次数：9		词频：10
演员		IDF：64.1017		出现次数：9		词频：10
城市		IDF：64.1017		出现次数：9		词频：10
办公室		IDF：64.1017		出现次数：9		词频：10
祝福		IDF：64.1017		出现次数：9		词频：10
动物		IDF：64.1017		出现次数：9		词频：10
明白		IDF：64.1017		出现次数：9		词频：10
老婆		IDF：64.1017		出现次数：9		词频：10
运动		IDF：64.1017		出现次数：9		词频：10
得到		IDF：64.1017		出现次数：9		词频：10
悲剧		IDF：64.1017		出现次数：9		词频：10
冲突		IDF：63.3228		出现次数：2		词频：8
政府		IDF：63.0445		出现次数：10		词频：10
适合		IDF：63.0445		出现次数：10		词频：10
压力		IDF：63.0445		出现次数：10		词频：10
肚子		IDF：63.0445		出现次数：10		词频：10
指导		IDF：63.0445		出现次数：10		词频：10
豹子		IDF：63.0445		出现次数：10		词频：10
段子		IDF：63.0445		出现次数：10		词频：10
奇葩		IDF：63.0445		出现次数：10		词频：10
举办		IDF：63.0445		出现次数：10		词频：10
使用		IDF：63.0445		出现次数：10		词频：10
不知		IDF：63.0445		出现次数：10		词频：10
青年		IDF：63.0445		出现次数：10		词频：10
不到		IDF：63.0445		出现次数：10		词频：10
想法		IDF：63.0445		出现次数：10		词频：10
妹子		IDF：63.0445		出现次数：10		词频：10
了解		IDF：63.0445		出现次数：10		词频：10
有空		IDF：63.0445		出现次数：10		词频：10
鄙视		IDF：63.0445		出现次数：10		词频：10
约定		IDF：63.0445		出现次数：10		词频：10
小孩		IDF：63.0445		出现次数：10		词频：10
方向		IDF：63.0445		出现次数：10		词频：10
介绍		IDF：63.0445		出现次数：10		词频：10
估计		IDF：63.0445		出现次数：10		词频：10
工作人员		IDF：63.0445		出现次数：10		词频：10
系统		IDF：63.0445		出现次数：10		词频：10
承认		IDF：63.0445		出现次数：10		词频：10
录取		IDF：62.9866		出现次数：5		词频：9
羽毛球		IDF：62.9866		出现次数：5		词频：9
草莓		IDF：62.9866		出现次数：5		词频：9
兼职		IDF：61.3506		出现次数：6		词频：9
垃圾		IDF：61.3506		出现次数：6		词频：9
时代		IDF：61.3506		出现次数：6		词频：9
雪花		IDF：60.2595		出现次数：1		词频：7
身高		IDF：60.0791		出现次数：3		词频：8
早餐		IDF：60.0791		出现次数：3		词频：8
拥有		IDF：59.9567		出现次数：7		词频：9
认为		IDF：59.9567		出现次数：7		词频：9
女孩		IDF：59.9567		出现次数：7		词频：9
校友		IDF：59.9567		出现次数：7		词频：9
学术		IDF：59.9567		出现次数：7		词频：9
阅读		IDF：59.9567		出现次数：7		词频：9
预防		IDF：59.9567		出现次数：7		词频：9
价值		IDF：59.9567		出现次数：7		词频：9
拍摄		IDF：58.7516		出现次数：8		词频：9
白云		IDF：58.7516		出现次数：8		词频：9
公开		IDF：58.7516		出现次数：8		词频：9
团委		IDF：58.7516		出现次数：8		词频：9
安排		IDF：58.7516		出现次数：8		词频：9
综合		IDF：58.7516		出现次数：8		词频：9
多谢		IDF：58.7516		出现次数：8		词频：9
父母		IDF：58.7516		出现次数：8		词频：9
中学		IDF：58.7516		出现次数：8		词频：9
欣赏		IDF：58.7516		出现次数：8		词频：9
作者		IDF：58.7516		出现次数：8		词频：9
能力		IDF：58.7516		出现次数：8		词频：9
姐妹		IDF：58.7516		出现次数：8		词频：9
珍惜		IDF：58.7516		出现次数：8		词频：9
现实		IDF：58.7516		出现次数：8		词频：9
羡慕		IDF：58.7516		出现次数：8		词频：9
校长		IDF：58.7516		出现次数：8		词频：9
捐赠		IDF：57.7747		出现次数：4		词频：8
浮云		IDF：57.7747		出现次数：4		词频：8
男篮		IDF：57.7747		出现次数：4		词频：8
王子		IDF：57.6916		出现次数：9		词频：9
集体		IDF：57.6916		出现次数：9		词频：9
同意		IDF：57.6916		出现次数：9		词频：9
研究		IDF：57.6916		出现次数：9		词频：9
影响		IDF：57.6916		出现次数：9		词频：9
翻译		IDF：57.6916		出现次数：9		词频：9
微风		IDF：57.6916		出现次数：9		词频：9
举行		IDF：57.6916		出现次数：9		词频：9
真相		IDF：57.6916		出现次数：9		词频：9
报告		IDF：57.6916		出现次数：9		词频：9
看见		IDF：57.6916		出现次数：9		词频：9
老人		IDF：57.6916		出现次数：9		词频：9
打电话		IDF：57.6916		出现次数：9		词频：9
距离		IDF：57.6916		出现次数：9		词频：9
哥哥		IDF：57.6916		出现次数：9		词频：9
说不定		IDF：57.6916		出现次数：9		词频：9
说明		IDF：57.6916		出现次数：9		词频：9
成长		IDF：57.6916		出现次数：9		词频：9
芒果		IDF：57.6916		出现次数：9		词频：9
凤凰		IDF：57.6916		出现次数：9		词频：9
忍不住		IDF：57.6916		出现次数：9		词频：9
出发		IDF：57.6916		出现次数：9		词频：9
方法		IDF：57.6916		出现次数：9		词频：9
操场		IDF：57.6916		出现次数：9		词频：9
师弟		IDF：57.6916		出现次数：9		词频：9
要求		IDF：57.6916		出现次数：9		词频：9
算是		IDF：57.6916		出现次数：9		词频：9
能够		IDF：57.6916		出现次数：9		词频：9
收费		IDF：55.9881		出现次数：5		词频：8
母亲		IDF：55.9881		出现次数：5		词频：8
学子		IDF：55.9881		出现次数：5		词频：8
家长		IDF：54.5339		出现次数：6		词频：8
大哥		IDF：54.5339		出现次数：6		词频：8
鸡蛋		IDF：54.5339		出现次数：6		词频：8
路人		IDF：54.5339		出现次数：6		词频：8
艺术		IDF：54.5339		出现次数：6		词频：8
雪糕		IDF：54.5339		出现次数：6		词频：8
自强		IDF：54.5339		出现次数：6		词频：8
改编		IDF：54.5339		出现次数：6		词频：8
新传		IDF：54.5339		出现次数：6		词频：8
猪头		IDF：54.5339		出现次数：6		词频：8
农夫		IDF：54.5339		出现次数：6		词频：8
警察		IDF：53.2948		出现次数：7		词频：8
下雨		IDF：53.2948		出现次数：7		词频：8
成员		IDF：53.2948		出现次数：7		词频：8
女儿		IDF：53.2948		出现次数：7		词频：8
讨论		IDF：53.2948		出现次数：7		词频：8
记住		IDF：53.2948		出现次数：7		词频：8
学会		IDF：53.2948		出现次数：7		词频：8
记者		IDF：53.2948		出现次数：7		词频：8
篮球		IDF：53.2948		出现次数：7		词频：8
失去		IDF：53.2948		出现次数：7		词频：8
万岁		IDF：52.5692		出现次数：3		词频：7
分母		IDF：52.5692		出现次数：3		词频：7
电视		IDF：52.2237		出现次数：8		词频：8
反应		IDF：52.2237		出现次数：8		词频：8
走走		IDF：52.2237		出现次数：8		词频：8
足够		IDF：52.2237		出现次数：8		词频：8
分手		IDF：52.2237		出现次数：8		词频：8
公益		IDF：52.2237		出现次数：8		词频：8
版本		IDF：52.2237		出现次数：8		词频：8
后悔		IDF：52.2237		出现次数：8		词频：8
事实		IDF：52.2237		出现次数：8		词频：8
妹妹		IDF：52.2237		出现次数：8		词频：8
外贸		IDF：52.2237		出现次数：8		词频：8
事儿		IDF：52.2237		出现次数：8		词频：8
沟通		IDF：52.2237		出现次数：8		词频：8
保护		IDF：52.2237		出现次数：8		词频：8
表达		IDF：52.2237		出现次数：8		词频：8
对不起		IDF：52.2237		出现次数：8		词频：8
想象		IDF：52.2237		出现次数：8		词频：8
中奖		IDF：52.2237		出现次数：8		词频：8
激情		IDF：52.2237		出现次数：8		词频：8
表演		IDF：52.2237		出现次数：8		词频：8
感到		IDF：52.2237		出现次数：8		词频：8
公布		IDF：52.2237		出现次数：8		词频：8
青光眼		IDF：51.651		出现次数：1		词频：6
学业		IDF：50.5529		出现次数：4		词频：7
开奖		IDF：50.5529		出现次数：4		词频：7
宣讲		IDF：50.5529		出现次数：4		词频：7
榴莲		IDF：50.5529		出现次数：4		词频：7
学员		IDF：50.5529		出现次数：4		词频：7
媒体		IDF：50.5529		出现次数：4		词频：7
山寨		IDF：50.5529		出现次数：4		词频：7
蠟燭		IDF：50.5529		出现次数：4		词频：7
懒得		IDF：50.5529		出现次数：4		词频：7
上帝		IDF：50.5529		出现次数：4		词频：7
费用		IDF：50.5529		出现次数：4		词频：7
部分		IDF：48.9896		出现次数：5		词频：7
成立		IDF：48.9896		出现次数：5		词频：7
商业		IDF：48.9896		出现次数：5		词频：7
就业		IDF：48.9896		出现次数：5		词频：7
口语		IDF：48.9896		出现次数：5		词频：7
钥匙		IDF：48.9896		出现次数：5		词频：7
预测		IDF：48.9896		出现次数：5		词频：7
暴力		IDF：48.9896		出现次数：5		词频：7
相遇		IDF：48.9896		出现次数：5		词频：7
爱上		IDF：47.7172		出现次数：6		词频：7
歌手		IDF：47.7172		出现次数：6		词频：7
前进		IDF：47.7172		出现次数：6		词频：7
请客		IDF：47.7172		出现次数：6		词频：7
小米		IDF：47.7172		出现次数：6		词频：7
旅行		IDF：47.7172		出现次数：6		词频：7
华工		IDF：47.7172		出现次数：6		词频：7
会议		IDF：47.7172		出现次数：6		词频：7
造成		IDF：47.7172		出现次数：6		词频：7
统计		IDF：47.7172		出现次数：6		词频：7
评价		IDF：47.7172		出现次数：6		词频：7
负责人		IDF：47.7172		出现次数：6		词频：7
吉他		IDF：47.7172		出现次数：6		词频：7
在于		IDF：47.7172		出现次数：6		词频：7
财经		IDF：47.7172		出现次数：6		词频：7
收获		IDF：47.7172		出现次数：6		词频：7
风景		IDF：47.7172		出现次数：6		词频：7
時候		IDF：47.7172		出现次数：6		词频：7
班级		IDF：47.7172		出现次数：6		词频：7
公关		IDF：47.7172		出现次数：6		词频：7
区别		IDF：47.7172		出现次数：6		词频：7
网友		IDF：47.7172		出现次数：6		词频：7
